name,ab_hours,ab_minutes,audiobook_length_(minutes),author,author_gender,completed_record,cost,count_complete,created_time,dashboard_stats_link,fanfic,finished,format,genre,genre_link,goodreads_link,id,lgbt,last_edited,narrator_(old),narrators,poc_author?,page_count,physical_copy_owned,publisher,rating,reread,series,source,spice,status,trope,word_count,ya
Starry Eyed Love,8.0,52.0,532,Helena Hunting,Female,Yes,$16.99,1,"June 19, 2022 7:33 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"June 19, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58724991-starry-eyed-love?ac=1&from_search=true&qid=YylaRF4u89&rank=1,LIB-214,NO,"October 16, 2025 1:42 PM","Jason Clarke, Stella Bloom","Jason Clarke (https://www.notion.so/Jason-Clarke-28e8d7a063c9800e9a50fea6d0f6dc4b?pvs=21), Stella Bloom (https://www.notion.so/Stella-Bloom-28e8d7a063c9800eb526ef59b45612d5?pvs=21)",NO,352.0,NO,Macmillan Audio,7.1,NO,,Libby,🌶🌶,Complete,"Coworkers/Workplace, Rich Boyfriend",93910.0,NO
Mr Penumbra’s 24 Hour Bookstore,7.0,41.0,461,Robin Sloan,Male,Yes,$18.00,1,"July 6, 2022 8:00 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"July 6, 2022",Audiobook,"Lit Fiction, Magical Realism","Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21), Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21)",https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore,LIB-215,NO,"October 16, 2025 10:22 AM",Ari Fliakos,Ari Fliakos (https://www.notion.so/Ari-Fliakos-28e8d7a063c98001aa9afb392b93b0cb?pvs=21),NO,288.0,NO,Macmillan Audio,8.5,YES,,Libby,❌,Complete,,76960.0,NO
Queerly Beloved,12.0,55.0,775,Susie Dumond,Female,Yes,$17.00,1,"July 6, 2022 8:08 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"July 13, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/59029636-queerly-beloved?ac=1&from_search=true&qid=NwaBt2Ma98&rank=1,LIB-216,YES,"October 16, 2025 1:48 PM",Kimberly M. Wetherell,Kimberly M. Wetherell (https://www.notion.so/Kimberly-M-Wetherell-28e8d7a063c980839efcf5ec8071915e?pvs=21),NO,400.0,NO,"Books on Tape, Random House Audio",8.4,NO,,Libby,🌶🌶,Complete,Forbidden Love,110076.0,NO
Weather Girl,10.0,41.0,641,Rachel Lynn Solomon,Female,Yes,$17.00,1,"July 6, 2022 8:12 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"July 22, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/53369734-weather-girl?from_search=true&from_srp=true&qid=fsfcw4Xqhy&rank=1,LIB-217,NO,"October 16, 2025 2:00 PM",Sarah Mollo-Christensen,Sarah Mollo-Christensen (https://www.notion.so/Sarah-Mollo-Christensen-28e8d7a063c980fc8b79f638551f588a?pvs=21),NO,330.0,NO,"Books on Tape, Penguin Audio",7.4,NO,,Libby,🌶🌶,Complete,Coworkers/Workplace,95774.0,NO
The Dead Romantics,10.0,24.0,624,Ashley Poston,Female,Yes,$17.00,1,"July 30, 2022 8:05 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"July 30, 2022",Audiobook,"Contemporary Romance, Magical Realism","Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21), Magical Realism (https://www.notion.so/Magical-Realism-2318d7a063c980e98f20eb1e97bf4df7?pvs=21)",https://www.goodreads.com/book/show/58885776-the-dead-romantics?from_search=true&from_srp=true&qid=PTPS408YpP&rank=1,LIB-218,NO,"October 16, 2025 10:54 AM",Eileen Stevens,Eileen Stevens (https://www.notion.so/Eileen-Stevens-28e8d7a063c980e192f3d67a1efc4eec?pvs=21),NO,368.0,YES,"Books on Tape, Penguin Audio",9.5,NO,,Libby,🌶,Complete,"Author/Writer, Coworkers/Workplace, Second Chance",96080.0,NO
The Romance Recipe,8.0,48.0,528,Ruby Barrett,Female,Yes,$15.99,1,"August 2, 2022 10:36 AM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"August 2, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58314356-the-romance-recipe?ac=1&from_search=true&qid=1XnMVbTpcW&rank=1,LIB-219,YES,"October 16, 2025 10:46 AM","Chelsea Stephens, Natalie Naudus","Chelsea Stephens (https://www.notion.so/Chelsea-Stephens-28e8d7a063c980d0b0abe87847b10392?pvs=21), Natalie Naudus (https://www.notion.so/Natalie-Naudus-28e8d7a063c98068a1b6cd2361020f99?pvs=21)",NO,304.0,NO,Harlequin Audio,7.3,NO,,Libby,🌶🌶🌶🌶,Complete,Coworkers/Workplace,90187.0,NO
Delilah Green Doesn’t Care (#1),12.0,15.0,735,Ashley Herring Blake,Female,Yes,$17.00,1,"August 13, 2022 7:00 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"August 12, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/54756850-delilah-green-doesn-t-care?ac=1&from_search=true&qid=PpkbHUQFKq&rank=1,LIB-220,YES,"October 16, 2025 1:48 PM",Kristen DiMercurio,Kristen DiMercurio (https://www.notion.so/Kristen-DiMercurio-28e8d7a063c980ed8d43ec57fc7050a2?pvs=21),NO,375.0,NO,"Books on Tape, Penguin Audio",7.2,NO,Bright Falls,Libby,🌶🌶,Complete,Grumpy/Sunshine,105830.0,NO
Liar,,,0,Fiona Cole,Female,Yes,$19.99,1,"August 13, 2022 10:30 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"August 13, 2022",Ebook,PWP,PWP (https://www.notion.so/PWP-3c0267439535497d86e9f37a9eabd2e9?pvs=21),https://www.goodreads.com/book/show/42944201-liar?ref=nav_sb_ss_1_15,LIB-222,NO,"July 17, 2024 8:36 PM",,,NO,256.0,NO,,6.5,NO,Voyeur,Library Genesis,🌶🌶🌶🌶,Complete,"Forbidden Love, Power Dynamic",66804.0,NO
I’m Glad My Mom Died,6.0,26.0,386,Jennette McCurdy,Female,Yes,$27.99,1,"September 15, 2022 7:55 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"August 31, 2022",Audiobook,Nonfiction,Nonfiction (https://www.notion.so/Nonfiction-d875d3d5f297417d846bc24ce701899d?pvs=21),https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died?from_search=true&from_srp=true&qid=ROUVrBZvMI&rank=1,LIB-223,NO,"October 16, 2025 1:43 PM",Jennette McCurdy,Jennette McCurdy (https://www.notion.so/Jennette-McCurdy-28e8d7a063c9808e9721c84762313ee8?pvs=21),NO,320.0,NO,Simon & Schuster Audio,8.5,NO,,Libby,❌,Complete,,87212.0,NO
Lessons in Chemistry ,11.0,54.0,714,Bonnie Garmus,Female,Yes,$23.99,1,"September 15, 2022 7:56 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"September 15, 2022",Audiobook,Historical Fiction,Historical Fiction (https://www.notion.so/Historical-Fiction-a59d551510254b15ac80a7dbb0d217a7?pvs=21),https://www.goodreads.com/en/book/show/58065033,LIB-224,NO,"October 16, 2025 1:55 PM","Bonnie Garmus, Miranda Raison, Pandora Sykes","Miranda Raison (https://www.notion.so/Miranda-Raison-28e8d7a063c98064927eccad725834dd?pvs=21), Bonnie Garmus (https://www.notion.so/Bonnie-Garmus-28e8d7a063c9803cabd0e9ca247212c5?pvs=21), Pandora Sykes (https://www.notion.so/Pandora-Sykes-28e8d7a063c98063bfb2f838748e5a71?pvs=21)",NO,400.0,NO,"Books on Tape, Recorded Books Inc.",9.3,NO,,Libby,🌶,Complete,Coworkers/Workplace,109919.0,NO
The Night Circus,13.0,40.0,820,Erin Morgenstern,Female,Yes,$17.00,1,"September 19, 2022 3:50 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"September 20, 2022",Audiobook,"Fantasy, Historical Fiction","Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21), Historical Fiction (https://www.notion.so/Historical-Fiction-a59d551510254b15ac80a7dbb0d217a7?pvs=21)",https://www.goodreads.com/book/show/9361589-the-night-circus?ac=1&from_search=true&qid=bSTGFS7woB&rank=1,LIB-225,NO,"October 16, 2025 1:44 PM",Jim Dale,Jim Dale (https://www.notion.so/Jim-Dale-28e8d7a063c980048e50f2e4651c1acf?pvs=21),NO,387.0,NO,Books on Tape,8.8,NO,,Libby,❌,Complete,Forbidden Love,121793.0,NO
Rivals (#3),12.0,32.0,752,Katharine McGee,Female,Yes,$12.99,1,"September 27, 2022 5:54 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"September 26, 2022",Audiobook,"Lit Fiction, Romance","Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21), Romance (https://www.notion.so/Romance-a1f5cb3c60e24916a3adf803af4ad445?pvs=21)",https://www.goodreads.com/book/show/59447047-rivals?ac=1&from_search=true&qid=p1eSoMQiTg&rank=3,LIB-226,NO,"October 16, 2025 10:24 AM",Brittany Pressley,Brittany Pressley (https://www.notion.so/Brittany-Pressley-28e8d7a063c980cb82b9c794b7f89e03?pvs=21),NO,400.0,NO,"Books on Tape, Listening Library",6.7,NO,American Royals,Libby,🌶,Complete,,107149.0,YES
Meet Me in the Margins,7.0,50.0,470,Melissa Ferguson,Female,Yes,$16.99,1,"October 7, 2022 8:47 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"October 7, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58429255-meet-me-in-the-margins?from_search=true&from_srp=true&qid=8JG3AEusEF&rank=1,LIB-227,NO,"October 16, 2025 2:02 PM",Talon David,Talon David (https://www.notion.so/Talon-David-28e8d7a063c98041a955c218345b2790?pvs=21),NO,309.0,NO,Thomas Nelson,7.7,NO,,Libby,🌶,Complete,"Author/Writer, Coworkers/Workplace",81215.0,NO
The Love Hypothesis (#1) [reread],11.0,8.0,668,Ali Hazelwood,Female,Yes,,1,"October 8, 2022 10:09 PM","Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"October 8, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/56732449-the-love-hypothesis,LIB-228,NO,"October 16, 2025 10:25 AM","Callie Dalton, Teddy Hamilton/Andrew Eiden","Teddy Hamilton / Andrew Eiden (https://www.notion.so/Teddy-Hamilton-Andrew-Eiden-28e8d7a063c9809faa32d9e9d549ac23?pvs=21), Callie Dalton (https://www.notion.so/Callie-Dalton-28e8d7a063c9808ebfa3d625015ef002?pvs=21)",NO,384.0,,"Books on Tape, Penguin Audio",7.8,YES,The Love Hypothesis,Libby,🌶🌶,Complete,"Academia/School, Coworkers/Workplace, Fake Relationship, Grumpy/Sunshine, Third Act Breakup",102278.0,NO
Love on the Brain (#2),11.0,7.0,667,Ali Hazelwood,Female,Yes,$17.00,1,"October 13, 2022 11:21 AM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"October 13, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/59571699-love-on-the-brain,LIB-229,NO,"October 16, 2025 10:24 AM",Brooke Bloomingdale,Brooke Bloomingdale (https://www.notion.so/Brooke-Bloomingdale-28e8d7a063c9800ea5e5dfae1371cddb?pvs=21),NO,368.0,NO,"Books on Tape, Penguin Audio",7.2,NO,The Love Hypothesis,Libby,🌶🌶,Complete,"Coworkers/Workplace, Misunderstanding",94534.0,NO
Mistakes Were Made,11.0,59.0,719,Meryl Wilsner,Female,Yes,$18.00,1,"October 13, 2022 2:14 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"November 16, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/59808269-mistakes-were-made?from_search=true&from_srp=true&qid=58ItgvFFeV&rank=2,LIB-230,YES,"October 16, 2025 1:57 PM","Quinn Riley, Stephanie Németh-Parker","Quinn Riley (https://www.notion.so/Quinn-Riley-28e8d7a063c980f88e8fd8c5a7d81e42?pvs=21), Stephanie Nemeth-Parker (https://www.notion.so/Stephanie-Nemeth-Parker-28e8d7a063c980b781d8fe0cb207dcc5?pvs=21)",NO,352.0,NO,Macmillan Audio,8.2,NO,,Libby,🌶🌶🌶🌶,Complete,Forbidden Love,99311.0,NO
Kiss Her Once for Me,10.0,38.0,638,Allison Cochrun,Female,Yes,$17.99,1,"October 13, 2022 2:17 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"May 27, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/60321485-kiss-her-once-for-me,LIB-233,YES,"October 16, 2025 1:55 PM",Natalie Naudus,Natalie Naudus (https://www.notion.so/Natalie-Naudus-28e8d7a063c98068a1b6cd2361020f99?pvs=21),NO,368.0,NO,Simon & Schuster Audio,7.2,NO,,Libby,🌶🌶,Complete,"Fake Relationship, Forbidden Love, Forced Proximity/Shared Goal, Rich Boyfriend, Second Chance",105419.0,NO
Icebreaker ,,,0,Hannah Grace,,,$17.99,0,"October 13, 2022 2:28 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"July 4, 2023",Ebook,Contemporary Romance,,https://www.goodreads.com/book/show/61767292-icebreaker?ref=nav_sb_ss_1_6,LIB-234,NO,"July 17, 2024 8:36 PM",,,NO,435.0,NO,,,NO,,Library Genesis,,DNF,Enemies/Rivals to Lovers,,NO
Astrid Parker Doesn’t Fail (#2),11.0,37.0,697,Ashley Herring Blake,Female,Yes,$17.00,1,"October 13, 2022 2:28 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"December 3, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58800142-astrid-parker-doesn-t-fail?ac=1&from_search=true&qid=VS8zd2Em9n&rank=1,LIB-235,YES,"October 16, 2025 1:48 PM",Kristen DiMercurio,Kristen DiMercurio (https://www.notion.so/Kristen-DiMercurio-28e8d7a063c980ed8d43ec57fc7050a2?pvs=21),NO,368.0,NO,Books on Tape,8.2,NO,Bright Falls,Libby,🌶🌶🌶,Complete,Enemies/Rivals to Lovers,105375.0,NO
Spanish Love Deception [reread],14.0,33.0,873,Elena Armas,Female,Yes,,1,"October 13, 2022 2:29 PM","Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"October 25, 2022",Ebook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,LIB-236,NO,"July 9, 2024 2:49 PM",,,NO,487.0,,,7.5,YES,,Library Genesis,🌶🌶🌶,Complete,"Coworkers/Workplace, Enemies/Rivals to Lovers, Fake Relationship, One Bed, Sick/Hurt & Takes Care of Them, Third Act Breakup",146365.0,NO
A Brush With Love,10.0,31.0,631,Mazey Eddings,Female,Yes,$15.29,1,"December 3, 2022 7:41 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"November 28, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/57693430,LIB-237,NO,"October 16, 2025 1:39 PM","Emily Lawrence, Vikas Adam","Emily Lawrence (https://www.notion.so/Emily-Lawrence-28e8d7a063c980fe8273e3c566ce19da?pvs=21), Vikas Adam (https://www.notion.so/Vikas-Adam-28e8d7a063c980dc9d9ec12cba5e134f?pvs=21)",NO,324.0,NO,Macmillan Audio,7.7,NO,,Libby,🌶🌶,Complete,Friends to Lovers,92354.0,NO
Husband Material (#2),13.0,36.0,816,Alexis Hall,Female,Yes,$15.99,1,"December 26, 2022 3:08 PM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"December 26, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58323892,LIB-238,YES,"October 16, 2025 1:44 PM",Joe Jameson,Joe Jameson (https://www.notion.so/Joe-Jameson-28e8d7a063c9801ca66dca02aa90067f?pvs=21),NO,432.0,NO,Dreamscape Media,6.2,NO,Boyfriend Material,Libby,🌶,Complete,"Opposites Attract, Second Chance",117787.0,NO
When in Rome,9.0,46.0,586,Sarah Adams,Female,Yes,$17.00,1,"December 28, 2022 10:18 AM",Completed 2022 (https://www.notion.so/Completed-2022-265d90652cac42058c9972fa764bbe09?pvs=21),NO,"December 28, 2022",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/60092579,LIB-239,NO,"October 16, 2025 1:47 PM","Karissa Vacker, Teddy Hamilton/Andrew Eiden","Karissa Vacker (https://www.notion.so/Karissa-Vacker-28e8d7a063c980679010d481103f0d3f?pvs=21), Teddy Hamilton / Andrew Eiden (https://www.notion.so/Teddy-Hamilton-Andrew-Eiden-28e8d7a063c9809faa32d9e9d549ac23?pvs=21)",NO,320.0,NO,"Books on Tape, Random House Audio",7.8,NO,,Libby,🌶🌶,Complete,"Forbidden Love, Grumpy/Sunshine",97096.0,NO
Never Ever Getting Back Together ,9.0,54.0,594,Sophie Gonzales,Female,Yes,$12.00,1,"January 28, 2023 7:16 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"January 24, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/59808187-never-ever-getting-back-together,LIB-240,YES,"October 16, 2025 10:23 AM","Barrie Kreinik, Natalie Naudus","Barrie Kreinik (https://www.notion.so/Barrie-Kreinik-28e8d7a063c9804fbab9c959473f7dda?pvs=21), Natalie Naudus (https://www.notion.so/Natalie-Naudus-28e8d7a063c98068a1b6cd2361020f99?pvs=21)",NO,384.0,NO,"Macmillan Audio, Macmillan Young Listeners",7.2,NO,,Libby,🌶,Complete,Enemies/Rivals to Lovers,99035.0,NO
The Arc [reread],11.0,31.0,691,Tory Henwood Hoen,Female,Yes,,1,"February 18, 2023 10:05 PM","Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"February 15, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/57693176-the-arc?from_search=true&from_srp=true&qid=WyYGxgfhYW&rank=3,LIB-241,NO,"October 16, 2025 1:54 PM",Mary Elizabeth Kelly,Mary Elizabeth Kelly (https://www.notion.so/Mary-Elizabeth-Kelly-28e8d7a063c980b597eac9a69bc30885?pvs=21),NO,352.0,,Macmillan Audio,9.2,YES,,Libby,🌶,Complete,Love at first sight,107657.0,NO
The Bodyguard,9.0,40.0,580,Katherine Center,Female,Yes,$18.00,1,"February 23, 2023 8:29 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"February 23, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/58724801-the-bodyguard?ac=1&from_search=true&qid=RFdlmx7V1J&rank=1,LIB-243,NO,"October 16, 2025 1:56 PM",Patti Murin,Patti Murin (https://www.notion.so/Patti-Murin-28e8d7a063c980c7aa52fb446283b203?pvs=21),NO,309.0,NO,Macmillan Audio,8.2,NO,,Libby,🌶,Complete,"Coworkers/Workplace, Fake Relationship, Forced Proximity/Shared Goal, One Bed, Rich Boyfriend",86685.0,NO
Why Fish Don’t Exist,4.0,55.0,295,Lulu Miller,Female,Yes,$17.99,1,"March 7, 2023 8:57 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"March 7, 2023",Audiobook,Nonfiction,Nonfiction (https://www.notion.so/Nonfiction-d875d3d5f297417d846bc24ce701899d?pvs=21),https://www.goodreads.com/book/show/50887097,LIB-244,NO,"October 16, 2025 1:53 PM",Lulu Miller,Lulu Miller (https://www.notion.so/Lulu-Miller-28e8d7a063c980bdb830f9d7ce09bde8?pvs=21),NO,225.0,NO,Simon & Schuster Audio,8.2,NO,,Libby,❌,Complete,,59726.0,NO
365 Days,9.0,43.0,583,Blanka Lipińska,Female,Yes,$14.49,1,"March 18, 2023 1:10 AM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"March 17, 2023",Audiobook,PWP,PWP (https://www.notion.so/PWP-3c0267439535497d86e9f37a9eabd2e9?pvs=21),https://www.goodreads.com/book/show/55702231-365-days?ref=nav_sb_ss_2_8,LIB-245,NO,"October 16, 2025 1:54 PM",Maya Starling,Maya Starling (https://www.notion.so/Maya-Starling-28e8d7a063c980ae9ecde61cfb3403d6?pvs=21),NO,336.0,NO,Simon & Schuster Audio,4.1,NO,,Libby,🌶🌶🌶🌶🌶,Complete,"Enemies/Rivals to Lovers, Rich Boyfriend",100258.0,NO
The Hunger Games (#1),11.0,11.0,671,Suzanne Collins,Female,Yes,$14.99,1,"March 19, 2023 10:50 PM","Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"March 18, 2023",Audiobook,Dystopia,Dystopia (https://www.notion.so/Dystopia-7b16496e3d424a6b8c1e6f6b1d0444f9?pvs=21),https://www.goodreads.com/book/show/2767052-the-hunger-games?ac=1&from_search=true&qid=AFxrAe3lyL&rank=1,LIB-246,NO,"October 16, 2025 2:00 PM",Santino Fontana,Santino Fontana (https://www.notion.so/Santino-Fontana-28e8d7a063c980288f20ffb341bad674?pvs=21),NO,374.0,YES,Scholastic Inc.,7.9,YES,Hunger Games,Libby,🌶,Complete,"Forbidden Love, Sick/Hurt & Takes Care of Them",99987.0,YES
The Ballad of Songbirds and Snakes (#.5),16.0,16.0,976,Suzanne Collins,Female,Yes,$16.99,1,"March 19, 2023 10:52 PM","Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"March 19, 2023",Audiobook,Dystopia,Dystopia (https://www.notion.so/Dystopia-7b16496e3d424a6b8c1e6f6b1d0444f9?pvs=21),https://www.goodreads.com/book/show/50794839-the-ballad-of-songbirds-and-snakes,LIB-247,NO,"October 16, 2025 2:02 PM",Tatiana Maslany,Tatiana Maslany (https://www.notion.so/Tatiana-Maslany-28e8d7a063c9802ba9a8e6533638c3ef?pvs=21),NO,528.0,NO,Scholastic Inc.,8.4,YES,Hunger Games,Libby,❌,Complete,,156602.0,YES
The Martian,,,0,Andy Weir,Male,Yes,$17.00,1,"March 25, 2023 4:57 PM","Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"March 25, 2023",Ebook,Science Fiction,Science Fiction (https://www.notion.so/Science-Fiction-a1b4c800b6d5438e999b8c1d3c577f22?pvs=21),https://www.goodreads.com/book/show/18007564,LIB-248,NO,"July 17, 2024 8:36 PM",,,NO,384.0,NO,,7.8,YES,,Library Genesis,❌,Complete,,103404.0,NO
Electric Idol (#2),,,0,Katee Robert,Female,Yes,$14.99,1,"March 26, 2023 9:46 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"March 26, 2023",Ebook,PWP,PWP (https://www.notion.so/PWP-3c0267439535497d86e9f37a9eabd2e9?pvs=21),https://www.goodreads.com/book/show/57661359,LIB-249,NO,"July 17, 2024 8:36 PM",,,NO,375.0,NO,,7.0,NO,Dark Olympus,Library Genesis,🌶🌶🌶🌶,Complete,"Enemies/Rivals to Lovers, Fake Relationship",102466.0,NO
