name,ab_hours,ab_minutes,audiobook_length_(minutes),author,author_gender,completed_record,cost,count_complete,created_time,dashboard_stats_link,fanfic,finished,format,genre,genre_link,goodreads_link,id,lgbt,last_edited,narrator_(old),narrators,poc_author?,page_count,physical_copy_owned,publisher,rating,reread,series,source,spice,status,trope,word_count,ya
Babel,21.0,45.0,1305,R.F. Kuang,Female,Yes,$20.00,1,"November 25, 2023 4:04 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 27, 2023","Audiobook, Ebook","Fantasy, Historical Fiction","Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21), Historical Fiction (https://www.notion.so/Historical-Fiction-a59d551510254b15ac80a7dbb0d217a7?pvs=21)",https://www.goodreads.com/book/show/57945316-babel?from_search=true&from_srp=true&qid=2In256nJ9X&rank=1,LIB-610,NO,"October 16, 2025 10:47 AM","Billie Fulford-Brown, Chris Lew Kum Hoi","Chris Lew Kum Hoi (https://www.notion.so/Chris-Lew-Kum-Hoi-28e8d7a063c9801c88dfd2c9ecd24e68?pvs=21), Billie Fulford-Brown (https://www.notion.so/Billie-Fulford-Brown-28e8d7a063c980d7bc73c1657c026ae3?pvs=21)",YES,544.0,NO,HarperAudio,7.5,NO,,"Libby, Library Genesis",❌,Complete,,204599.0,NO
Do Your Worst,9.0,14.0,554,Rosie Danan,Female,Yes,$17.00,1,"November 25, 2023 6:37 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 26, 2023",Audiobook,"Contemporary Romance, Magical Realism","Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21), Magical Realism (https://www.notion.so/Magical-Realism-2318d7a063c980e98f20eb1e97bf4df7?pvs=21)",https://www.goodreads.com/book/show/122977981-do-your-worst,LIB-611,NO,"October 16, 2025 2:01 PM","Saskia Maarleveld, Shane East","Saskia Maarleveld (https://www.notion.so/Saskia-Maarleveld-28e8d7a063c9804a9d8edbf2a83031a8?pvs=21), Shane East (https://www.notion.so/Shane-East-28e8d7a063c9806f9f0af9ba6c5049ac?pvs=21)",NO,317.0,NO,Books on Tape,5.9,NO,,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Forced Proximity/Shared Goal",91499.0,NO
Divine Rivals,10.0,45.0,645,Rebecca Ross,Female,Yes,$12.00,1,"November 28, 2023 2:38 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 30, 2023",Audiobook,"Historical Romance, Romantasy","Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21), Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21)",https://www.goodreads.com/book/show/60784546-divine-rivals?from_search=true&from_srp=true&qid=2RYwdfwKmo&rank=2,LIB-612,NO,"October 16, 2025 10:20 AM","Alex Wingfield, Rebecca Norfolk","Alex Wingfield (https://www.notion.so/Alex-Wingfield-28e8d7a063c98041b4a7d92238cdb3f4?pvs=21), Rebecca Norfolk (https://www.notion.so/Rebecca-Norfolk-28e8d7a063c980fd801be675dd780060?pvs=21)",NO,357.0,NO,"Macmillan Audio, Macmillan Young Listeners",5.6,NO,,Libby,🌶,Complete,"Coworkers/Workplace, Enemies/Rivals to Lovers",108568.0,YES
Cross My Heart (#1),,,0,Roxy Sloan,Female,Yes,$15.29,1,"November 30, 2023 1:12 AM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 29, 2023",Ebook,"Contemporary Romance, PWP","PWP (https://www.notion.so/PWP-3c0267439535497d86e9f37a9eabd2e9?pvs=21), Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21)",https://www.goodreads.com/book/show/196707260,LIB-613,NO,"July 17, 2024 8:36 PM",,,NO,294.0,NO,,5.4,NO,,Library Genesis,🌶🌶🌶🌶,Complete,"Misunderstanding, Power Dynamic",77886.0,NO
Break My Rules (#2),,,0,Roxy Sloan,Female,Yes,$15.99,1,"December 1, 2023 8:07 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"December 1, 2023",Ebook,"Contemporary Romance, PWP","Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21), PWP (https://www.notion.so/PWP-3c0267439535497d86e9f37a9eabd2e9?pvs=21)",https://www.goodreads.com/book/show/196707263-break-my-rules,LIB-616,NO,"July 17, 2024 8:36 PM",,,NO,250.0,NO,,4.6,NO,The Oxford Legacy,Library Genesis,🌶🌶🌶🌶🌶,Complete,,66373.0,NO
How to Honeymoon Alone,10.0,12.0,612,Olivia Hayle,Female,Yes,$14.99,1,"December 6, 2023 8:26 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"December 6, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/78580979,LIB-618,NO,"October 16, 2025 1:54 PM",Meg Price,Meg Price (https://www.notion.so/Meg-Price-28e8d7a063c980598b53d46022b7c190?pvs=21),NO,319.0,NO,Olivia Hayle,7.3,NO,,Libby,🌶🌶,Complete,"Author/Writer, Grumpy/Sunshine, Rich Boyfriend",80749.0,NO
The Fifth Season (#1),15.0,27.0,927,NK Jemisin,Female,Yes,$18.99,1,"December 7, 2023 9:52 AM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"December 9, 2023",Audiobook,Fantasy,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/19161852-the-fifth-season?ac=1&from_search=true&qid=ymMxXW20ki&rank=1,LIB-619,NO,"October 16, 2025 1:59 PM",Robin Miles,Robin Miles (https://www.notion.so/Robin-Miles-28e8d7a063c980b9b7afc57d02faea51?pvs=21),YES,468.0,NO,"Hachette Audio, Orbit",8.7,NO,The Broken Earth,Libby,🌶,Complete,,136560.0,NO
Once Upon a Broken Heart (#1),10.0,3.0,603,Stephanie Garber,Female,Yes,$12.99,1,"December 9, 2023 8:21 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"December 10, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart,LIB-620,NO,"October 16, 2025 1:58 PM",Rebecca Soler,Rebecca Soler (https://www.notion.so/Rebecca-Soler-28e8d7a063c98049b845f6f96b5ee6d0?pvs=21),NO,403.0,NO,"Macmillan Audio, Macmillan Young Listeners",4.7,NO,Once Upon a Broken Heart,Libby,🌶,Complete,Forbidden Love,89132.0,YES
Sadie,,,0,Courtney Summers,,,$11.99,0,"December 9, 2023 8:25 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"December 16, 2023",Audiobook,,,https://www.goodreads.com/book/show/34810320-sadie,LIB-621,,"July 17, 2024 8:35 PM",,,,308.0,NO,,,,,Libby,,DNF,,,
The Obelisk Gate (#2),13.0,19.0,799,NK Jemisin,Female,Yes,$18.99,1,"December 12, 2023 8:34 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"December 12, 2023",Audiobook,Fantasy,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/26228034-the-obelisk-gate?from_search=true&from_srp=true&qid=ZNyz7w00KC&rank=4,LIB-623,NO,"October 16, 2025 1:59 PM",Robin Miles,Robin Miles (https://www.notion.so/Robin-Miles-28e8d7a063c980b9b7afc57d02faea51?pvs=21),YES,410.0,NO,"Hachette Audio, Orbit",9.2,NO,The Broken Earth,Libby,❌,Complete,,114927.0,NO
